,Time,C3,C4,Cz,FC1,FC2,FC5,FC6,CP1,CP2,CP5,CP6
57,0.256,-4.390546766967834e-06,4.725491380279351e-05,-4.410751751045827e-06,2.7695219259564784e-05,-3.1351834955633587e-06,-5.516899944155792e-07,3.143673112814307e-06,-3.5890256322273145e-06,-2.959012944417258e-05,-2.1506675854164815e-06,2.1169340391002306e-06
58,0.264,-1.1821989471106362e-05,4.368489657201065e-05,-6.160817580209065e-06,3.5420650593555615e-05,1.961011314289607e-06,-4.299210810719677e-06,-1.7939195816998818e-06,-8.197683456526093e-06,-4.1214715872395267e-05,-5.729564078083342e-06,-1.141187016345129e-06
59,0.272,-1.4011596671773806e-05,4.273354535133749e-05,-6.913780650680361e-06,3.2123980051358364e-05,4.731708106940065e-06,-3.1921664749706284e-06,2.5317821812009327e-07,-9.965391013517724e-06,-4.650764614699299e-05,-1.0996330929540598e-05,-4.385596550241115e-06
60,0.28,-1.0216158790006294e-05,4.281823472971433e-05,-5.830283972830285e-06,2.3846902462189578e-05,4.177187808246834e-06,2.799903409094531e-07,4.8495485016289715e-06,-8.919460861959234e-06,-3.937746992365864e-05,-1.479167273881586e-05,-6.47250040184138e-06
61,0.288,-7.893731083777928e-06,4.268884696980566e-05,-3.3319328682194387e-06,1.9637984661983608e-05,3.5868537195124624e-06,1.2799284493320418e-06,4.976066841459464e-06,-7.838492650360038e-06,-2.9436482649508824e-05,-1.9182416160281905e-05,-7.183858883335191e-06
62,0.296,-8.673187745936983e-06,3.877434571325445e-05,-1.3407872667864196e-06,1.526887062149597e-05,3.84675404027332e-06,1.8427140970836876e-06,5.748972838157217e-06,-7.57360255874856e-06,-3.5558266000955435e-05,-2.5632230407956296e-05,-3.0118249914013117e-06
63,0.304,-8.187574814789744e-06,3.265262799184258e-05,-6.837281223911027e-07,9.076331093366198e-06,3.7375912763057574e-06,4.5332149218574e-06,1.0345423028771016e-05,-6.468523202772568e-06,-4.0999744037306116e-05,-2.626322504481833e-05,-5.523903813060584e-07
64,0.312,-6.93094708438579e-06,3.140464534803758e-05,-9.860175136076503e-07,3.946821260409873e-06,3.1642269487331973e-06,5.832756990726959e-06,1.2065389808297817e-05,-5.42232281506905e-06,-3.057230002406523e-05,-2.3764636230171857e-05,-2.471207914244312e-06
65,0.32,-7.320362483937673e-06,3.342882406278451e-05,-1.685034668321823e-06,-2.095908210259057e-06,2.4987936378020464e-06,4.073402828003904e-06,9.590945488169982e-06,-6.245313014302224e-06,-3.2878579817200904e-05,-2.7745468789322624e-05,1.194915454529734e-06
66,0.328,-6.372737114340209e-06,3.349460717653828e-05,-1.644500068737746e-06,-7.648314453308744e-06,2.19222464077992e-06,3.3428203841864805e-06,7.887797575437866e-06,-6.1868014486408354e-06,-3.7214695128109946e-05,-2.7151469921333042e-05,1.6325319973988479e-06
67,0.336,-3.4168303925307383e-06,3.4651369931115685e-05,-1.1417595588989502e-06,-8.99968978483962e-06,2.585614259192906e-06,4.279994787134513e-06,6.1032406775615425e-06,-3.4683137685459617e-06,4.021507888743645e-06,-1.4257368248415067e-05,-1.4456820624239611e-05
68,0.344,-2.843972696693629e-06,3.556950791058865e-05,-1.6001846066167709e-06,-1.1634223364013669e-05,2.297911380274319e-06,3.1005286218456258e-06,2.4002720512912994e-06,-1.7102744219521985e-06,4.7663755837543217e-05,-8.21758611836405e-06,-2.3572758038183013e-05
